expected,predicted,confidence,correct
T,T,0.9916,1
F,F,0.8568,1
8,8,0.9999,1
5,5,1.0,1
U,U,0.9144,1
P,P,0.5794,1
W,w,0.5873,0
N,N,0.9809,1
R,R,0.9984,1
R,R,0.5053,1
a,a,0.844,1
d,d,0.9999,1
s,r,0.7436,0
3,3,1.0,1
T,T,0.9362,1
M,M,0.6778,1
U,U,0.2907,1
x,x,0.6054,1
3,3,1.0,1
A,A,0.9931,1
A,A,0.9934,1
Z,2,0.4753,0
r,r,1.0,1
O,O,0.8325,1
u,U,0.4147,0
5,S,0.5247,0
5,5,0.999,1
L,L,0.988,1
9,9,0.984,1
5,5,0.9998,1
r,r,0.9966,1
I,I,0.9841,1
E,E,0.9997,1
L,L,0.9052,1
X,x,0.5266,0
3,3,0.9998,1
B,B,0.9585,1
3,3,0.9998,1
S,S,0.8335,1
h,h,0.9971,1
j,j,0.994,1
Y,4,0.9313,0
8,8,0.9998,1
4,4,0.9994,1
n,n,0.9828,1
6,6,0.9995,1
o,O,0.7793,0
M,M,0.8006,1
p,P,0.6346,0
d,d,0.9999,1
m,n,0.6228,0
6,6,0.9999,1
A,A,0.9743,1
J,I,0.8879,0
3,3,1.0,1
P,P,0.781,1
I,1,0.6374,0
h,h,0.9991,1
X,X,0.9293,1
d,d,0.9901,1
p,P,0.6784,0
U,v,0.3637,0
0,0,0.8099,1
2,2,1.0,1
i,1,0.3815,0
Y,y,0.6056,0
r,r,0.9996,1
8,8,0.9998,1
t,t,0.9978,1
R,R,0.7528,1
R,R,0.9933,1
o,O,0.7199,0
y,Y,0.713,0
a,a,0.9102,1
Z,2,0.4984,0
E,E,0.9774,1
R,R,0.9938,1
r,r,0.9998,1
b,b,0.9703,1
o,0,0.5519,0
Q,Q,0.9979,1
p,p,0.5315,1
k,K,0.7596,0
F,F,0.9056,1
D,D,0.9739,1
T,T,0.7112,1
i,I,0.4361,0
E,E,0.9507,1
1,1,0.7785,1
T,T,0.9933,1
t,t,0.9977,1
m,M,0.6673,0
n,n,0.9994,1
w,N,0.3747,0
2,2,1.0,1
U,U,0.6837,1
f,F,0.6699,0
t,9,0.4587,0
K,K,0.8956,1
0,0,0.8512,1
9,9,0.9565,1
P,P,0.8347,1
H,H,0.9941,1
b,b,0.6169,1
q,9,0.9711,0
C,C,0.8262,1
G,G,0.8694,1
M,M,0.7032,1
X,x,0.7852,0
G,G,0.9944,1
G,6,0.855,0
A,A,0.9989,1
R,R,0.9981,1
n,n,0.9773,1
c,C,0.6985,0
j,J,0.5349,0
I,I,0.8589,1
m,M,0.7376,0
v,N,0.7741,0
M,M,0.9305,1
p,P,0.5345,0
i,i,0.7444,1
D,D,0.9998,1
f,F,0.7594,0
x,X,0.5068,0
w,w,0.6173,1
g,g,0.8349,1
D,D,0.9909,1
L,L,0.9905,1
H,H,0.9996,1
X,X,0.7537,1
H,H,0.9942,1
v,v,0.6375,1
3,3,1.0,1
p,P,0.697,0
S,S,0.8357,1
D,D,0.5288,1
0,0,0.7204,1
5,5,0.9998,1
h,h,0.9691,1
3,3,0.9995,1
L,L,0.9861,1
f,F,0.648,0
w,w,0.7762,1
s,S,0.727,0
T,T,0.9966,1
P,P,0.7669,1
a,a,0.7632,1
N,N,0.9822,1
r,r,0.9967,1
f,F,0.6363,0
Q,Q,0.9636,1
o,O,0.7053,0
N,N,0.9922,1
C,C,0.7528,1
O,O,0.743,1
d,d,0.9705,1
d,d,0.9998,1
l,1,0.7252,0
r,r,1.0,1
d,d,0.9984,1
L,L,0.8557,1
f,F,0.623,0
c,C,0.6186,0
r,r,1.0,1
q,q,0.8902,1
c,C,0.7529,0
m,M,0.7097,0
k,k,0.7564,1
0,O,0.4886,0
j,j,0.7612,1
Q,Q,0.9998,1
X,X,0.7596,1
S,S,0.8802,1
Z,Z,0.4995,1
8,8,0.9847,1
7,7,0.9996,1
P,P,0.9803,1
V,v,0.5263,0
F,F,0.7561,1
E,E,0.9977,1
f,F,0.6695,0
1,1,0.6643,1
y,Y,0.4864,0
4,4,0.9005,1
B,B,0.9885,1
l,l,0.4908,1
H,H,0.7739,1
9,9,0.9949,1
z,2,0.5207,0
8,8,0.9994,1
M,M,0.9593,1
I,I,0.9853,1
k,k,0.6302,1
1,1,0.7689,1
X,x,0.6628,0
b,b,0.9981,1
3,3,1.0,1
8,8,0.9998,1
7,7,0.9995,1
n,n,0.9993,1
c,C,0.72,0
h,h,0.9991,1
s,S,0.893,0
A,A,0.9572,1
m,M,0.6788,0
n,n,0.9986,1
v,V,0.5047,0
Y,Y,0.8578,1
z,2,0.9539,0
9,9,0.9708,1
V,V,0.507,1
W,W,0.9398,1
R,R,0.97,1
M,M,0.7801,1
O,0,0.5315,0
L,L,0.8767,1
Q,Q,0.9768,1
M,M,0.7245,1
5,S,0.747,0
R,R,0.9883,1
g,9,0.4163,0
R,R,0.9428,1
F,F,0.9695,1
0,0,0.6948,1
2,2,0.8862,1
e,e,1.0,1
t,t,0.999,1
C,C,0.9179,1
B,B,0.9907,1
z,Z,0.4766,0
Z,z,0.4907,0
5,5,0.9981,1
Z,z,0.567,0
v,V,0.6007,0
9,9,0.9377,1
a,a,0.9869,1
j,J,0.5139,0
l,1,0.695,0
G,G,0.9939,1
j,j,0.7115,1
L,L,0.9915,1
p,P,0.5058,0
r,r,0.9966,1
4,4,0.9994,1
A,A,0.9949,1
q,9,0.5619,0
i,i,0.9828,1
A,A,0.9094,1
h,h,0.9942,1
S,S,0.6016,1
t,t,0.9996,1
L,L,0.9729,1
K,K,0.6646,1
a,a,0.9983,1
j,J,0.4592,0
Q,Q,0.9975,1
O,0,0.7576,0
C,C,0.7107,1
k,k,0.7376,1
m,M,0.5788,0
r,r,0.9979,1
P,P,0.9581,1
q,9,0.8045,0
0,0,0.7,1
a,a,0.9999,1
K,K,0.7836,1
e,e,1.0,1
d,d,0.9997,1
8,8,0.9982,1
t,r,0.4813,0
Y,Y,0.8241,1
6,6,0.9999,1
N,N,0.9593,1
Q,Q,0.9518,1
K,K,0.798,1
X,X,0.9466,1
I,1,0.6367,0
f,F,0.8183,0
P,P,0.7385,1
q,9,0.9145,0
S,S,0.7399,1
f,F,0.6708,0
g,a,0.8513,0
Q,Q,0.9259,1
Z,2,0.8724,0
5,5,0.9974,1
9,9,0.9406,1
2,2,0.9744,1
s,S,0.8998,0
g,9,0.8932,0
f,F,0.6527,0
5,5,1.0,1
c,C,0.6807,0
n,n,0.9996,1
S,S,0.887,1
a,a,0.9871,1
W,W,0.8389,1
j,j,0.9962,1
v,y,0.4351,0
k,K,0.6979,0
O,O,0.5492,1
O,O,0.8241,1
n,n,0.8041,1
3,3,1.0,1
7,7,0.9991,1
p,P,0.5961,0
q,q,0.4742,1
h,h,0.9996,1
g,9,0.8261,0
y,Y,0.5844,0
G,G,0.5347,1
W,W,0.5795,1
G,6,0.8704,0
I,1,0.5594,0
3,3,1.0,1
n,n,0.9971,1
U,U,0.8953,1
f,F,0.7279,0
x,x,0.593,1
v,v,0.5742,1
7,7,1.0,1
z,2,0.7738,0
P,P,0.6545,1
9,9,0.9044,1
E,E,0.9989,1
B,S,0.4289,0
8,8,0.9991,1
N,N,0.9951,1
U,U,0.7596,1
G,G,0.8712,1
U,U,0.933,1
m,M,0.7548,0
h,h,0.9842,1
b,b,0.9982,1
F,F,0.7582,1
w,w,0.6166,1
I,I,0.4257,1
5,5,0.9997,1
2,2,0.9995,1
4,4,0.9987,1
