# word frequency

the 23135851162
a 13151942776
i 12000000000
and 12997637966
to 12136980858
of 11700000000
in 6996437000
is 6200000000
it 5800000000
you 5000000000
that 4300000000
for 3400000000
on 3200000000
with 3000000000
as 2800000000
are 2600000000
was 2500000000
have 2400000000
be 2350000000
at 2200000000
this 2100000000
from 1900000000
or 1800000000
one 1700000000
had 1650000000
by 1600000000
word 1500000000
but 1450000000
not 1400000000
what 1300000000
all 1200000000
were 1100000000
we 1000000000
when 980000000
can 970000000
there 960000000
use 950000000
an 940000000
each 930000000
which 920000000
she 910000000
do 900000000
how 890000000
their 880000000
if 870000000
will 860000000
up 850000000
other 840000000
about 830000000
out 820000000
many 810000000
then 800000000
them 790000000
these 780000000
so 770000000
some 760000000
her 750000000
would 740000000
make 730000000
like 720000000
him 710000000
into 700000000
time 690000000
has 680000000
look 670000000
two 660000000
more 650000000
write 640000000
go 630000000
see 620000000
number 610000000
no 600000000
way 590000000
could 580000000
people 570000000
my 560000000
than 550000000
first 540000000
water 530000000
been 520000000
call 510000000
who 500000000
oil 490000000
its 480000000
now 470000000
find 460000000
long 450000000
down 440000000
day 430000000
did 420000000
get 410000000
come 400000000
made 390000000
may 380000000
part 370000000
ball 650000000
black 410000000
quick 360000000
brown 300000000
fox 290000000
kicked 200000000
cat 450000000
dog 440000000
school 430000000
class 420000000
teacher 410000000
student 380000000
children 370000000
child 360000000
book 350000000
books 330000000
chair 320000000
home 310000000
house 300000000
paper 290000000
pen 280000000
sentence 270000000
story 260000000
spelling 250000000
writing 240000000
right 230000000
rite 120000000
hear 210000000
here 205000000
too 200000000
know 195000000
learn 190000000
play 185000000
friend 180000000
because 175000000
receive 170000000
jumbled 165000000
jumble 160000000
jumped 155000000
teh 10000
chaier 10000
writting 10000
recieve 10000
bal 20000
blal 10000
bll 10000
bali 5000
blak 10000
quik 10000
taht 10000
hav 10000
lik 10000
apples 150000000
apple 140000000
went 175000000
over 170000000
small 165000000
big 160000000
christmas 145000000
good 158000000
well 156000000
doing 154000000
hope 152000000
new 150000000
old 148000000
very 146000000
really 144000000
uncle 142000000
quokka 120000000
orbit 118000000
piano 116000000
